generation,node_id,strategy_int,strategy_bits,payoff
10,61,5,101,600.0
10,62,5,101,600.0
10,63,5,101,600.0
10,64,5,101,600.0
10,65,5,101,450.0
10,66,5,101,600.0
10,67,5,101,450.0
10,68,5,101,450.0
10,69,5,101,600.0
10,70,5,101,750.0
10,71,5,101,501.0
10,72,5,101,651.0
10,73,4,100,224.0
10,74,5,101,501.0
10,75,5,101,450.0
10,76,5,101,600.0
10,77,5,101,600.0
10,78,5,101,600.0
10,79,5,101,600.0
10,80,5,101,750.0
10,81,5,101,750.0
10,82,5,101,600.0
10,83,5,101,750.0
10,84,5,101,600.0
10,85,5,101,450.0
10,86,5,101,450.0
10,87,5,101,600.0
10,88,5,101,600.0
10,89,5,101,600.0
10,90,5,101,600.0
10,91,5,101,575.0
10,92,5,101,725.0
10,93,1,001,550.0
10,94,5,101,550.0
10,95,1,001,350.0
10,96,5,101,425.0
10,97,5,101,600.0
10,98,5,101,600.0
10,99,5,101,600.0
11,0,5,101,600.0
11,1,5,101,600.0
11,2,5,101,600.0
11,3,5,101,600.0
11,4,5,101,600.0
11,5,5,101,450.0
11,6,5,101,750.0
11,7,5,101,600.0
11,8,5,101,750.0
11,9,5,101,450.0
11,10,5,101,600.0
11,11,5,101,750.0
11,12,5,101,450.0
11,13,5,101,600.0
11,14,5,101,600.0
11,15,5,101,600.0
11,16,5,101,600.0
11,17,5,101,600.0
11,18,5,101,600.0
11,19,5,101,600.0
11,20,5,101,450.0
11,21,5,101,600.0
11,22,5,101,600.0
11,23,5,101,600.0
11,24,5,101,600.0
11,25,5,101,750.0
11,26,5,101,600.0
11,27,5,101,600.0
11,28,5,101,501.0
11,29,5,101,600.0
11,30,4,100,224.0
11,31,5,101,351.0
11,32,5,101,501.0
11,33,5,101,600.0
11,34,5,101,600.0
11,35,5,101,750.0
11,36,5,101,600.0
11,37,5,101,600.0
11,38,5,101,600.0
11,39,5,101,600.0
11,40,5,101,600.0
11,41,5,101,750.0
11,42,5,101,600.0
11,43,5,101,600.0
11,44,5,101,600.0
11,45,5,101,600.0
11,46,5,101,600.0
11,47,5,101,600.0
11,48,7,111,750.0
11,49,5,101,700.0
11,50,1,001,375.0
11,51,5,101,725.0
11,52,5,101,575.0
11,53,5,101,425.0
11,54,1,001,375.0
11,55,5,101,425.0
11,56,5,101,476.0
11,57,5,101,600.0
